year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2011,2011_35,M,NRKW,oo11_245a,245,428,5.014127003,53.4,0,0,0,95.04500061
2011,2011_35,M,NRKW,oo11_245a,245,429,3.413839791,33.4,0,0,0,95.24428528
2011,2011_35,M,NRKW,oo11_245a,245,430,2.433203556,19.2,0,0,0,93.95236994
2011,2011_35,M,NRKW,oo11_245a,245,431,3.531445927,31.8,0,0,0,93.82817137
2011,2011_35,M,NRKW,oo11_245a,245,432,2.88219618,25.8,0,0,0,94.70652461
2011,2011_35,M,NRKW,oo11_245a,245,433,3.700894169,39.6,0,0,0,93.70540879
2011,2011_35,M,NRKW,oo11_245a,245,434,11.85938674,160.6,0,0,0,94.25276177
2011,2011_35,M,NRKW,oo11_245a,245,435,3.026417096,24.8,0,0,0,93.78725223
2011,2011_35,M,NRKW,oo11_245a,245,436,3.712183319,36.2,0,0,0,94.61405755
2011,2011_35,M,NRKW,oo11_245a,245,437,4.7876092,65,0,0,0,94.23138308
2011,2011_35,M,NRKW,oo11_245a,245,438,3.758002233,34,0,0,0,93.7641206
2011,2011_35,M,NRKW,oo11_245a,245,439,3.16084106,33.2,0,0,0,93.70027396
2011,2011_35,M,NRKW,oo11_245a,245,440,13.0481032,246.6,0,0,0,94.40928982
2011,2011_35,M,NRKW,oo11_245a,245,441,2.938934875,29.2,0,0,0,94.31325148
2011,2011_35,M,NRKW,oo11_245a,245,442,2.587066989,21.2,0,0,0,94.19010062
2011,2011_35,M,NRKW,oo11_245a,245,444,3.366435367,28.2,0,0,0,93.63049904
2011,2011_35,M,NRKW,oo11_245a,245,445,3.496405043,31.4,0,0,0,93.7956165
2011,2011_35,M,NRKW,oo11_245a,245,446,12.85765543,187,0,0,0,94.13820984
2011,2011_35,M,NRKW,oo11_245a,245,449,3.623321377,34,0,0,0,93.82397897
2011,2011_35,M,NRKW,oo11_245a,245,450,3.282781551,30.4,0,0,0,94.79452557
2011,2011_35,M,NRKW,oo11_245a,245,451,3.361300604,32,0,0,0,93.73395505
2011,2011_35,M,NRKW,oo11_245a,245,452,3.00443858,24.6,0,0,0,93.66634193
2011,2011_35,M,NRKW,oo11_245a,245,453,16.81223889,191.8,0,0,0,94.11204827
2011,2011_35,M,NRKW,oo11_245a,245,454,2.686563938,31,0,0,0,94.20607192
2011,2011_35,M,NRKW,oo11_245a,245,456,4.209240771,40.6,0,0,0,93.9510581
