population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_239a,244,M,126,3.137866603,22.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,127,6.447477953,43.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,129,4.319668587,28.8,0,0,1,non_foraging
NRKW,oo09_239a,244,M,132,5.04215232,34.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,133,14.33620861,195.0,0,0,1,non_foraging
NRKW,oo09_239a,244,M,135,7.302767119,35.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,136,11.4850143,83.2,0,0,1,non_foraging
NRKW,oo09_239a,244,M,138,3.342482017,37.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,139,4.11703865,61.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,140,5.843920396,62.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,141,4.538714943,35.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,142,6.958368344,39.8,0,0,1,non_foraging
NRKW,oo09_239a,244,M,144,3.800835577,27.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,145,3.64377944,34.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,146,4.476257391,51.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,147,3.926207436,33.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,148,4.780011504,27.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,149,4.579838008,39.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,150,3.635330147,47.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,151,3.331068191,24.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,152,4.418342832,42.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,153,4.926242412,42.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,154,4.549685735,38.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,155,4.486161238,39.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,156,4.084409702,48.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,157,2.83208296,21.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,16,2.584170752,11.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,19,2.649864104,11.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,20,3.44541023,15.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,22,3.15909643,13.0,0,0,1,non_foraging
NRKW,oo09_240a,243,M,23,3.34160652,13.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,26,4.598241103,16.6,0,0,1,non_foraging
NRKW,oo09_240a,243,M,28,3.61331321,14.4,0,0,1,non_foraging
NRKW,oo09_240a,243,M,29,3.259917136,14.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,30,3.867472653,15.4,0,0,0,non_foraging
